Interaction_Description,Simplified_Description
The risk or severity of adverse effects can be increased when Etacrynic acid is combined with Digoxin.,Combining Etacrynic acid with Digoxin may increase the chance of harmful side effects.
Procarbazine may decrease the cardiotoxic activities of Digoxin.,Procarbazine can reduce the heart-related risks of Digoxin.
The serum concentration of Digoxin can be decreased when it is combined with Acarbose.,Acarbose can lower the amount of Digoxin in the blood.
Sunitinib may decrease the cardiotoxic activities of Digoxin.,Sunitinib can reduce the harmful effects of Digoxin on the heart.
Lanreotide may decrease the cardiotoxic activities of Digoxin.,Lanreotide can reduce the harmful effects of Digoxin on the heart.
Brimonidine may increase the bradycardic activities of Digoxin.,Brimonidine can make Digoxin slow the heart rate more.
Imatinib may decrease the cardiotoxic activities of Digoxin.,Imatinib can lower the harmful effects of Digoxin on the heart.
Crizotinib may decrease the cardiotoxic activities of Digoxin.,Crizotinib can lower the harmful effects of Digoxin on the heart.
The serum concentration of Digoxin can be decreased when it is combined with Mitotane.,Mitotane can lower the amount of Digoxin in the blood.
Dienogest may decrease the cardiotoxic activities of Digoxin.,Dienogest can reduce the harmful effects of Digoxin on the heart.
Olaparib may decrease the cardiotoxic activities of Digoxin.,Olaparib can reduce the harmful effects of Digoxin on the heart.
Rucaparib may decrease the cardiotoxic activities of Digoxin.,Rucaparib can reduce the harmful effects of Digoxin on the heart.
Prednisolone may decrease the cardiotoxic activities of Digoxin.,Prednisolone can reduce the harmful effects of Digoxin on the heart.
Midostaurin may decrease the cardiotoxic activities of Digoxin.,Midostaurin can lower the harmful effects of Digoxin on the heart.
Medroxyprogesterone acetate may decrease the cardiotoxic activities of Digoxin.,Medroxyprogesterone acetate can reduce the harmful effects of Digoxin on the heart.
Bortezomib may decrease the cardiotoxic activities of Digoxin.,Bortezomib can lower the harmful effects of Digoxin on the heart.
Panobinostat may decrease the cardiotoxic activities of Digoxin.,Panobinostat can reduce the harmful effects of Digoxin on the heart.
Betaxolol may increase the bradycardic activities of Digoxin.,Betaxolol can make Digoxin slow the heart rate more.
The serum concentration of Digoxin can be decreased when it is combined with Enzalutamide.,Enzalutamide can lower the amount of Digoxin in the blood.
Abiraterone may decrease the cardiotoxic activities of Digoxin.,Abiraterone can reduce the harmful effects of Digoxin on the heart.
Diethylstilbestrol may decrease the cardiotoxic activities of Digoxin.,Diethylstilbestrol can reduce the harmful effects of Digoxin on the heart.
Nilotinib may decrease the cardiotoxic activities of Digoxin.,Nilotinib can lower the harmful effects of Digoxin on the heart.
Dexamethasone may decrease the cardiotoxic activities of Digoxin.,Dexamethasone can reduce the harmful effects of Digoxin on the heart.
Letrozole may decrease the cardiotoxic activities of Digoxin.,Letrozole can reduce the harmful effects of Digoxin on the heart.
Norfloxacin may decrease the cardiotoxic activities of Digoxin.,Norfloxacin can reduce the harmful effects of Digoxin on the heart.
Miltefosine may decrease the cardiotoxic activities of Digoxin.,Miltefosine can lower the harmful effects of Digoxin on the heart.
Trimetrexate may decrease the cardiotoxic activities of Digoxin.,Trimetrexate can reduce the harmful effects of Digoxin on the heart.
The risk or severity of adverse effects can be increased when Amphotericin B is combined with Digoxin.,Combining Amphotericin B with Digoxin may increase the chance of harmful side effects.
Sirolimus may decrease the cardiotoxic activities of Digoxin.,Sirolimus can reduce the harmful effects of Digoxin on the heart.
Alprenolol may increase the bradycardic activities of Digoxin.,Alprenolol can make Digoxin slow the heart rate more.
Timolol may increase the bradycardic activities of Digoxin.,Timolol can make Digoxin slow the heart rate more.
Atenolol may increase the bradycardic activities of Digoxin.,Atenolol can make Digoxin slow the heart rate more.
Bupranolol may increase the bradycardic activities of Digoxin.,Bupranolol can make Digoxin slow the heart rate more.
Celiprolol may increase the bradycardic activities of Digoxin.,Celiprolol can make Digoxin slow the heart rate more.
Oxprenolol may increase the bradycardic activities of Digoxin.,Oxprenolol can make Digoxin slow the heart rate more.
Metoprolol may increase the bradycardic activities of Digoxin.,Metoprolol can make Digoxin slow the heart rate more.
Bopindolol may increase the bradycardic activities of Digoxin.,Bopindolol can make Digoxin slow the heart rate more.
Megestrol acetate may decrease the cardiotoxic activities of Digitoxin.,Megestrol acetate can reduce the harmful effects of Digitoxin on the heart.
Fleroxacin may decrease the cardiotoxic activities of Digitoxin.,Fleroxacin can reduce the harmful effects of Digitoxin on the heart.
Phenylbutyric acid may decrease the cardiotoxic activities of Digitoxin.,Phenylbutyric acid can reduce the harmful effects of Digitoxin on the heart.
Trifluridine may decrease the cardiotoxic activities of Digitoxin.,Trifluridine can reduce the harmful effects of Digitoxin on the heart.
Medrogestone may decrease the cardiotoxic activities of Digitoxin.,Medrogestone can reduce the harmful effects of Digitoxin on the heart.
Lycopene may decrease the cardiotoxic activities of Digitoxin.,Lycopene can reduce the harmful effects of Digitoxin on the heart.
The serum concentration of Digitoxin can be decreased when it is combined with Deferasirox.,Deferasirox can lower the amount of Digitoxin in the blood.
The serum concentration of Digitoxin can be decreased when it is combined with Kaolin.,Kaolin can lower the amount of Digitoxin in the blood.
The therapeutic efficacy of Digitoxin can be decreased when used in combination with Spironolactone.,Spironolactone can reduce how well Digitoxin works when used together.
Labetalol may increase the bradycardic activities of Digitoxin.,Labetalol can make Digitoxin slow the heart rate more.
Carvedilol may increase the bradycardic activities of Digitoxin.,Carvedilol can make Digitoxin slow the heart rate more.
The serum concentration of Digitoxin can be decreased when it is combined with Mesalazine.,Mesalazine can lower the amount of Digitoxin in the blood.
The serum concentration of Digitoxin can be decreased when it is combined with Balsalazide.,Balsalazide can lower the amount of Digitoxin in the blood.
The serum concentration of Digitoxin can be decreased when it is combined with Olsalazine.,Olsalazine can lower the amount of Digitoxin in the blood.
Resveratrol may decrease the cardiotoxic activities of Digitoxin.,Resveratrol can reduce the harmful effects of Digitoxin on the heart.
The serum concentration of Digitoxin can be increased when it is combined with Conivaptan.,Conivaptan can increase the amount of Digitoxin in the blood.
Bisoprolol may increase the bradycardic activities of Digitoxin.,Bisoprolol can make Digitoxin slow the heart rate more.
Penbutolol may increase the bradycardic activities of Digitoxin.,Penbutolol can make Digitoxin slow the heart rate more.
Nebivolol may increase the bradycardic activities of Digitoxin.,Nebivolol can make Digitoxin slow the heart rate more.
Acebutolol may increase the bradycardic activities of Digitoxin.,Acebutolol can make Digitoxin slow the heart rate more.
Carteolol may increase the bradycardic activities of Digitoxin.,Carteolol can make Digitoxin slow the heart rate more.
Vandetanib may decrease the cardiotoxic activities of Digitoxin.,Vandetanib can reduce the harmful effects of Digitoxin on the heart.
Sotalol may increase the bradycardic activities of Digitoxin.,Sotalol can make Digitoxin slow the heart rate more.
Levobunolol may increase the bradycardic activities of Digitoxin.,Levobunolol can make Digitoxin slow the heart rate more.
Pindolol may increase the bradycardic activities of Digitoxin.,Pindolol can make Digitoxin slow the heart rate more.
Metipranolol may increase the bradycardic activities of Digitoxin.,Metipranolol can make Digitoxin slow the heart rate more.
The serum concentration of Deslanoside can be decreased when it is combined with Netilmicin.,Netilmicin can lower the amount of Deslanoside in the blood.
The serum concentration of Deslanoside can be decreased when it is combined with Amikacin.,Amikacin can lower the amount of Deslanoside in the blood.
Valrubicin may decrease the cardiotoxic activities of Deslanoside.,Valrubicin can reduce the harmful effects of Deslanoside on the heart.
Daunorubicin may decrease the cardiotoxic activities of Deslanoside.,Daunorubicin can reduce the harmful effects of Deslanoside on the heart.
Doxorubicin may decrease the cardiotoxic activities of Deslanoside.,Doxorubicin can reduce the harmful effects of Deslanoside on the heart.
The serum concentration of Deslanoside can be decreased when it is combined with Arbekacin.,Arbekacin can lower the amount of Deslanoside in the blood.
The serum concentration of Deslanoside can be decreased when it is combined with Gentamicin.,Gentamicin can lower the amount of Deslanoside in the blood.
The serum concentration of Deslanoside can be decreased when it is combined with Paromomycin.,Paromomycin can lower the amount of Deslanoside in the blood.
The serum concentration of Deslanoside can be decreased when it is combined with Spectinomycin.,Spectinomycin can lower the amount of Deslanoside in the blood.
Prednisone may decrease the cardiotoxic activities of Deslanoside.,Prednisone can reduce the harmful effects of Deslanoside on the heart.
Diltiazem may increase the atrioventricular blocking (AV block) activities of Ouabain.,"Diltiazem and Ouabain both slow heart conduction; using them together increases the risk of AV block, which can cause slow heart rate or fainting."
Verapamil may increase the atrioventricular blocking (AV block) activities of Ouabain.,"Verapamil enhances the AV-blocking effect of Ouabain, raising the chance of dangerously slow heart rhythms."
Tiaprofenic acid may increase the neuroexcitatory activities of Gatifloxacin.,"Combining Tiaprofenic acid with Gatifloxacin may overstimulate the nervous system, increasing the risk of seizures or agitation."
The risk or severity of adverse effects can be increased when Methylprednisolone is combined with Gatifloxacin.,"This combination can enhance harmful side effects such as tendon damage, blood sugar changes, or immune suppression."
The risk or severity of adverse effects can be increased when Formestane is combined with Gatifloxacin.,"Formestane and Gatifloxacin may have additive toxicities, leading to stronger or more frequent adverse reactions."
The serum concentration of Gatifloxacin can be decreased when it is combined with Sucralfate.,"Sucralfate can bind to Gatifloxacin in the gut, lowering its absorption and effectiveness."
Mesalazine may increase the neuroexcitatory activities of Gatifloxacin.,"This combination may heighten nervous system activity, leading to a higher risk of tremors or seizures."
Balsalazide may increase the neuroexcitatory activities of Gatifloxacin.,"The interaction may intensify nervous system stimulation, possibly resulting in neurotoxic symptoms."
Olsalazine may increase the neuroexcitatory activities of Gatifloxacin.,"These drugs together may increase excitability in the brain and nerves, leading to agitation or seizures."
Resveratrol may increase the neuroexcitatory activities of Gatifloxacin.,"Resveratrol may amplify the nervous side effects of Gatifloxacin, such as restlessness or convulsions."
Masoprocol may increase the neuroexcitatory activities of Gatifloxacin.,"Masoprocol may enhance Gatifloxacin's stimulation of the nervous system, raising seizure risk."
Sulindac may increase the neuroexcitatory activities of Gatifloxacin.,"Sulindac, when combined with Gatifloxacin, may increase brain excitability and seizure potential."
Pirfenidone may increase the neuroexcitatory activities of Gatifloxacin.,This interaction could raise the likelihood of nervous system overstimulation and related symptoms.
Mycophenolate mofetil may increase the neuroexcitatory activities of Gatifloxacin.,Combining these drugs might result in heightened neurological side effects such as confusion or tremors.
Leflunomide may increase the neuroexcitatory activities of Gatifloxacin.,Leflunomide could worsen Gatifloxacin-induced nervous system side effects.
The risk or severity of QTc prolongation can be increased when Vemurafenib is combined with Gatifloxacin.,"Both drugs can extend the heart's QT interval, potentially leading to life-threatening arrhythmias."
Warfarin may increase the anticoagulant activities of Gatifloxacin.,"Warfarin may intensify the blood-thinning effect of Gatifloxacin, increasing bleeding risk."
Phenprocoumon may increase the anticoagulant activities of Gatifloxacin.,This combination may enhance anticoagulation and elevate the risk of bleeding complications.
Phenindione may increase the anticoagulant activities of Gatifloxacin.,"The interaction may result in excessive blood thinning, increasing susceptibility to bleeding."
Acenocoumarol may increase the anticoagulant activities of Gatifloxacin.,"Combining these may heighten the effect of anticoagulation, raising bleeding risk."
Dicoumarol may increase the anticoagulant activities of Gatifloxacin.,"Dicoumarol may amplify Gatifloxacins anticoagulant action, increasing the danger of hemorrhage."
Rosiglitazone may increase the hypoglycemic activities of Gatifloxacin.,"This combo can overly lower blood sugar, risking hypoglycemia with symptoms like confusion or fainting."
Nimesulide may increase the neuroexcitatory activities of Gatifloxacin.,"Nimesulide might make Gatifloxacin cause more nervous system side effects, like shaking or confusion."
Acetylsalicylic acid may increase the neuroexcitatory activities of Gatifloxacin.,"Taking Acetylsalicylic acid with Gatifloxacin might make the nervous system effects stronger, like agitation or trembling."
Diflunisal may increase the neuroexcitatory activities of Gatifloxacin.,"Diflunisal can increase Glatifloxacin effects on the nervous system, potentially leading to symptoms like seizures or restlessness."
Azelastine may increase the neuroexcitatory activities of Gatifloxacin.,"Azelastine may amplify the nervous system effects of Gatifloxacin, increasing risks of symptoms like tremors."
Tranilast may increase the neuroexcitatory activities of Gatifloxacin.,"Tranilast might make Gatifloxacin overstimulate the nervous system, causing things like confusion or shaking."
Sulfisoxazole may increase the hypoglycemic activities of Gatifloxacin.,"Sulfisoxazole can make Gatifloxacin lower blood sugar too much, causing symptoms like dizziness or fainting."
Chlorpropamide may increase the hypoglycemic activities of Gatifloxacin.,"Chlorpropamide may make Gatifloxacin lower blood sugar too much, increasing the risk of low blood sugar symptoms."
Canagliflozin may increase the hypoglycemic activities of Gatifloxacin.,"Canagliflozin might make Gatifloxacin lower blood sugar too much, leading to symptoms like shakiness."
Pentamidine may increase the hypoglycemic activities of Gatifloxacin.,"Pentamidine can make Gatifloxacin lower blood sugar more than usual, raising the risk of hypoglycemia."
Glipizide may increase the hypoglycemic activities of Gatifloxacin.,"Glipizide may increase the blood sugar-lowering effects of Gatifloxacin, increasing the risk of hypoglycemia."
Glyburide may increase the hypoglycemic activities of Gatifloxacin.,"Glyburide may cause Gatifloxacin to lower blood sugar too much, risking symptoms like dizziness or fainting."
Bromocriptine may increase the hypoglycemic activities of Gatifloxacin.,"Bromocriptine may enhance Glatifloxacin ability to lower blood sugar, possibly leading to hypoglycemia."
Chloroquine may increase the neuroexcitatory activities of Gatifloxacin.,Chloroquine may increase the risk of nervous system side effects when combined with Gatifloxacin.
Celecoxib may increase the neuroexcitatory activities of Gatifloxacin.,"Celecoxib might make Gatifloxacin overstimulate the nervous system, increasing symptoms like confusion."
Salicylic acid may increase the neuroexcitatory activities of Gatifloxacin.,"Salicylic acid could amplify Glatifloxacin effects on the nervous system, potentially causing shaking or seizures."
Naftifine may increase the neuroexcitatory activities of Gatifloxacin.,"Naftifine may increase the likelihood of Gatifloxacin causing nervous system problems, such as tremors."
The risk or severity of adverse effects can be increased when Fluticasone propionate is combined with Gatifloxacin.,Using Fluticasone propionate with Gatifloxacin can increase the risk of harmful side effects like immune system problems.
The serum concentration of Gatifloxacin can be decreased when it is combined with Magnesium sulfate.,"Magnesium sulfate may lower the amount of Gatifloxacin in the blood, reducing its effectiveness."
Fenbufen may increase the neuroexcitatory activities of Gatifloxacin.,"Fenbufen might make Gatifloxacin cause more nervous system side effects, like shaking or confusion."
Meclofenamic acid may increase the neuroexcitatory activities of Gatifloxacin.,Meclofenamic acid can increase the likelihood of Gatifloxacin causing nervous system overstimulation.
Tolmetin may increase the neuroexcitatory activities of Gatifloxacin.,Tolmetin may make Gatifloxacin cause more nervous system effects like trembling or seizures.
Tenoxicam may increase the neuroexcitatory activities of Gatifloxacin.,"Tenoxicam can make Gatifloxacin overstimulate the nervous system, causing symptoms like confusion."
Choline magnesium trisalicylate may increase the neuroexcitatory activities of Gatifloxacin.,"Choline magnesium trisalicylate may enhance Glatifloxacin nervous system effects, leading to symptoms like agitation."
Etoricoxib may increase the neuroexcitatory activities of Gatifloxacin.,"Etoricoxib may make Gatifloxacin overstimulate the nervous system, causing restlessness or confusion."
Suprofen may increase the neuroexcitatory activities of Gatifloxacin.,Suprofen can increase the risk of nervous system overstimulation when taken with Gatifloxacin.
Flurbiprofen may increase the neuroexcitatory activities of Gatifloxacin.,"Flurbiprofen may heighten Glatifloxacin nervous system effects, leading to symptoms like shaking or confusion."
Indomethacin may increase the neuroexcitatory activities of Gatifloxacin.,Indomethacin may increase the risk of nervous system side effects when combined with Gatifloxacin.
Oxyphenbutazone may increase the neuroexcitatory activities of Gatifloxacin.,"Oxyphenbutazone can make Gatifloxacin cause stronger nervous system effects, like trembling or seizures."
Icatibant may increase the neuroexcitatory activities of Gatifloxacin.,Icatibant might increase the nervous system overstimulation caused by Gatifloxacin.
Etodolac may increase the neuroexcitatory activities of Gatifloxacin.,"Etodolac can increase Glatifloxacin effects on the nervous system, leading to symptoms like restlessness or shaking."
Adapalene may increase the neuroexcitatory activities of Gatifloxacin.,"Adapalene might make Gatifloxacin overstimulate the nervous system, leading to side effects like confusion."
The serum concentration of Gatifloxacin can be decreased when it is combined with Magnesium salicylate.,"Magnesium salicylate can reduce the amount of Gatifloxacin in the bloodstream, lowering its effect."
The serum concentration of Gatifloxacin can be decreased when it is combined with Quinapril.,"Quinapril can lower the amount of Gatifloxacin in the body, reducing how well it works."
The risk or severity of QTc prolongation can be increased when Ribociclib is combined with Gatifloxacin.,Combining Ribociclib with Gatifloxacin can increase the risk of heart problems like abnormal heart rhythms.
The metabolism of Gatifloxacin can be decreased when combined with Theophylline.,"Theophylline can slow down the breakdown of Gatifloxacin in the body, increasing the risk of side effects."
The metabolism of Gatifloxacin can be decreased when combined with Dyphylline.,"Dyphylline can reduce how quickly Gatifloxacin is processed in the body, raising the chances of side effects."
The metabolism of Gatifloxacin can be decreased when combined with Aminophylline.,"Aminophylline can slow the breakdown of Gatifloxacin, increasing the risk of side effects."
The risk or severity of adverse effects can be increased when Prednisolone is combined with Rosoxacin.,"Taking Prednisolone with Rosoxacin can increase the risk of harmful side effects, including immune system issues."
The risk or severity of adverse effects can be increased when Dexamethasone is combined with Rosoxacin.,Combining Dexamethasone with Rosoxacin can increase the chance of harmful side effects like immune issues.
The risk or severity of adverse effects can be increased when Prednisone is combined with Rosoxacin.,"Taking Prednisone with Rosoxacin may increase the risk of negative effects, like immune system problems."
The risk or severity of adverse effects can be increased when Methylprednisolone is combined with Rosoxacin.,"Methylprednisolone may make Rosoxacin cause more harmful side effects, such as immune system issues."
The risk or severity of adverse effects can be increased when Formestane is combined with Rosoxacin.,"Formestane can increase the risk of side effects when used with Rosoxacin, including problems with the immune system."
The serum concentration of Rosoxacin can be decreased when it is combined with Sucralfate.,"Sucralfate may lower the amount of Rosoxacin in the bloodstream, reducing its effectiveness."
Mesalazine may increase the neuroexcitatory activities of Rosoxacin.,"Mesalazine may make Rosoxacin overstimulate the nervous system, increasing the risk of side effects like agitation."
Balsalazide may increase the neuroexcitatory activities of Rosoxacin.,"Balsalazide can enhance Rosoxacin effects on the nervous system, leading to symptoms like shaking."
Olsalazine may increase the neuroexcitatory activities of Rosoxacin.,Olsalazine can increase the likelihood of Rosoxacin causing nervous system overstimulation.
Azelastine may increase the neuroexcitatory activities of Rosoxacin.,"Azelastine may enhance Rosoxacin nervous system effects, like confusion or trembling."
Tranilast may increase the neuroexcitatory activities of Rosoxacin.,"Tranilast can make Rosoxacin overstimulate the nervous system, leading to symptoms like restlessness."
Sulfisoxazole may increase the hypoglycemic activities of Rosoxacin.,"Sulfisoxazole can make Rosoxacin lower blood sugar too much, increasing the risk of hypoglycemia."
Chlorpropamide may increase the hypoglycemic activities of Rosoxacin.,"Chlorpropamide may cause Rosoxacin to lower blood sugar more than normal, leading to symptoms like dizziness."
Canagliflozin may increase the hypoglycemic activities of Rosoxacin.,"Canagliflozin may make Rosoxacin lower blood sugar more than usual, increasing the risk of low blood sugar."
Pentamidine may increase the hypoglycemic activities of Rosoxacin.,"Pentamidine may cause Rosoxacin to lower blood sugar too much, leading to symptoms of hypoglycemia."
Glipizide may increase the hypoglycemic activities of Rosoxacin.,"Glipizide can enhance Rosoxacin ability to lower blood sugar, leading to the risk of low blood sugar."
Disopyramide may increase the hypoglycemic activities of Rosoxacin.,"Disopyramide can make Rosoxacin lower blood sugar more than usual, increasing the risk of hypoglycemia."
Tolbutamide may increase the hypoglycemic activities of Rosoxacin.,"Tolbutamide may increase the blood sugar-lowering effects of Rosoxacin, raising the risk of hypoglycemia."
Miglitol may increase the hypoglycemic activities of Rosoxacin.,"Miglitol may increase the ability of Rosoxacin to lower blood sugar, increasing the chances of hypoglycemia."
The risk or severity of adverse effects can be increased when Ciclesonide is combined with Rosoxacin.,"Using Ciclesonide with Rosoxacin can increase the risk of side effects, including immune system issues."
The risk or severity of adverse effects can be increased when Cortisone acetate is combined with Rosoxacin.,"Cortisone acetate may increase the risk of side effects when combined with Rosoxacin, such as problems with the immune system."
The risk or severity of adverse effects can be increased when Alclometasone is combined with Rosoxacin.,"Alclometasone can increase the chance of harmful effects when taken with Rosoxacin, particularly related to the immune system."
The risk or severity of adverse effects can be increased when Fludrocortisone is combined with Rosoxacin.,Fludrocortisone may increase the risk of harmful side effects when combined with Rosoxacin.
The risk or severity of adverse effects can be increased when Flunisolide is combined with Rosoxacin.,"Flunisolide can raise the risk of negative side effects when used with Rosoxacin, like immune system problems."
The risk or severity of adverse effects can be increased when Triamcinolone is combined with Rosoxacin.,"Triamcinolone may make Rosoxacin cause more harmful effects, especially immune system-related side effects."
Fondaparinux may decrease the anticoagulant activities of Estrone.,Fondaparinux may make Estrone less effective at preventing blood clots.
Pentaerythritol tetranitrate may decrease the anticoagulant activities of Estrone.,Pentaerythritol tetranitrate may reduce Estrone’s ability to prevent blood clots.
Citric acid may decrease the anticoagulant activities of Estrone.,Citric acid may make Estrone less effective at preventing blood clots.
Pentosan polysulfate may decrease the anticoagulant activities of Estrone.,Pentosan polysulfate may reduce Estrone’s ability to prevent blood clots.
Protocatechualdehyde may decrease the anticoagulant activities of Estrone.,Protocatechualdehyde may make Estrone less effective in preventing blood clots.
The bioavailability of Estrone can be decreased when combined with Sodium bicarbonate.,Sodium bicarbonate may reduce how much Estrone is absorbed into the bloodstream.
The bioavailability of Estrone can be decreased when combined with Magaldrate.,Magaldrate can reduce how much Estrone gets into the bloodstream.
Tipranavir may increase the dermatologic adverse activities of Estrone.,"Tipranavir may make Estrone cause more skin-related side effects, like irritation or rashes."
The risk or severity of adverse effects can be increased when Tiaprofenic acid is combined with Teriflunomide.,Tiaprofenic acid may increase the risk of side effects when taken with Teriflunomide.
The risk or severity of adverse effects can be increased when Carprofen is combined with Teriflunomide.,Carprofen may increase the chance of harmful side effects when combined with Teriflunomide.
The metabolism of Teriflunomide can be decreased when combined with Cyclophosphamide.,"Cyclophosphamide can slow down the breakdown of Teriflunomide, increasing its effects."
The serum concentration of Teriflunomide can be increased when it is combined with Paclitaxel.,"Paclitaxel may raise the amount of Teriflunomide in the blood, possibly increasing side effects."
The serum concentration of Teriflunomide can be increased when it is combined with Docetaxel.,"Docetaxel can increase the level of Teriflunomide in the blood, leading to stronger effects."
The metabolism of Teriflunomide can be decreased when combined with Cabazitaxel.,"Cabazitaxel may slow down the breakdown of Teriflunomide, making its effects last longer."
The metabolism of Teriflunomide can be decreased when combined with Phenytoin.,"Phenytoin can slow the breakdown of Teriflunomide, increasing its concentration in the body."
The metabolism of Teriflunomide can be decreased when combined with Rifampicin.,"Rifampicin can reduce the breakdown of Teriflunomide, making its effects stronger."
The metabolism of Teriflunomide can be decreased when combined with Fosphenytoin.,"Fosphenytoin may reduce how quickly Teriflunomide is broken down, leading to higher levels in the blood."
Timolol may decrease the antihypertensive activities of Teriflunomide.,Timolol may make Teriflunomide less effective at lowering blood pressure.
Atenolol may decrease the antihypertensive activities of Teriflunomide.,Atenolol may make Teriflunomide less effective at lowering blood pressure.
Bupranolol may decrease the antihypertensive activities of Teriflunomide.,Bupranolol may make Teriflunomide less effective at lowering blood pressure.
Celiprolol may decrease the antihypertensive activities of Teriflunomide.,Celiprolol may make Teriflunomide less effective at lowering blood pressure.
Oxprenolol may decrease the antihypertensive activities of Teriflunomide.,Oxprenolol may make Teriflunomide less effective at lowering blood pressure.
Metoprolol may decrease the antihypertensive activities of Teriflunomide.,Metoprolol may make Teriflunomide less effective at lowering blood pressure.
Bopindolol may decrease the antihypertensive activities of Teriflunomide.,Bopindolol may make Teriflunomide less effective at lowering blood pressure.
Esmolol may decrease the antihypertensive activities of Teriflunomide.,Esmolol may make Teriflunomide less effective at lowering blood pressure.
The serum concentration of Teriflunomide can be increased when it is combined with Lenvatinib.,The amount of Teriflunomide in the blood can increase when combined with Lenvatinib.
The serum concentration of Teriflunomide can be increased when it is combined with Levofloxacin.,The amount of Teriflunomide in the blood can increase when combined with Levofloxacin.
Epirubicin may decrease the excretion rate of Teriflunomide which could result in a higher serum level.,"Epirubicin can slow down how quickly Teriflunomide is removed from the body, which could lead to higher levels in the blood."
Streptomycin may decrease the excretion rate of Teriflunomide which could result in a higher serum level.,"Streptomycin can slow down how quickly Teriflunomide is removed from the body, which could lead to higher levels in the blood."
Metrizamide may decrease the excretion rate of Teriflunomide which could result in a higher serum level.,"Metrizamide can slow down how quickly Teriflunomide is removed from the body, which could lead to higher levels in the blood."
Kanamycin may decrease the excretion rate of Teriflunomide which could result in a higher serum level.,"Kanamycin can slow down how quickly Teriflunomide is removed from the body, which could lead to higher levels in the blood."
Idarubicin may decrease the excretion rate of Teriflunomide which could result in a higher serum level.,"Idarubicin can slow down how quickly Teriflunomide is removed from the body, which could lead to higher levels in the blood."
Plicamycin may decrease the excretion rate of Teriflunomide which could result in a higher serum level.,"Plicamycin can slow down how quickly Teriflunomide is removed from the body, which could lead to higher levels in the blood."
Streptozocin may decrease the excretion rate of Teriflunomide which could result in a higher serum level.,"Streptozocin can slow down how quickly Teriflunomide is removed from the body, which could lead to higher levels in the blood."
Tobramycin may decrease the excretion rate of Teriflunomide which could result in a higher serum level.,"Tobramycin can slow down how quickly Teriflunomide is removed from the body, which could lead to higher levels in the blood."
Framycetin may decrease the excretion rate of Teriflunomide which could result in a higher serum level.,"Framycetin can slow down how quickly Teriflunomide is removed from the body, which could lead to higher levels in the blood."
Netilmicin may decrease the excretion rate of Teriflunomide which could result in a higher serum level.,"Netilmicin can slow down how quickly Teriflunomide is removed from the body, which could lead to higher levels in the blood."
Streptozocin may decrease the excretion rate of Salicylamide which could result in a higher serum level.,"Streptozocin can slow down how Salicylamide is removed from the body, leading to higher levels of Salicylamide in the bloodstream. This could increase the risk of side effects or toxicity from Salicylamide."
Tobramycin may decrease the excretion rate of Salicylamide which could result in a higher serum level.,"Tobramycin has the same effect as Streptozocin, slowing down the excretion of Salicylamide and raising its levels in the body, potentially causing unwanted effects."
